"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
1,CA,116-537-003-457-353,2002-02-28,CA 2420465 A,2001-08-22,POLYPROPYLENE POLYMERS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
2,US,122-900-652-693-613,2008-01-01,US 74742503 A,2003-12-29,Polypropylene films,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENT INC (2004-03-16),10,4,B32B27/18;;B32B27/32;;C08J5/18;;C08J2323/12;;C08L23/10;;C08L2205/02;;Y10T428/31909;;Y10T428/31938;;B32B27/08;;B32B27/18;;B32B27/205;;B32B27/32;;B32B27/36;;B32B2307/518;;B32B2323/10;;B32B2439/00;;C08J5/18;;C08J2323/12;;C08L23/10;;C08L2205/02;;Y10T428/31909;;Y10T428/31938,C08F8/00;;B32B27/18;;B32B27/32;;C08J5/18;;C08L23/00;;C08L23/04;;C08L23/10,525/191;;525/240
3,EP,144-554-611-690-722,2021-08-18,EP 19872194 A,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,0,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08K5/053;;B29C48/00;;B29C49/04;;C08F10/06;;C08J5/18;;C08L23/10,
4,US,123-504-416-043-522,2024-09-17,US 201917279739 A,2019-09-25,Polypropylene for films,EXXONMOBIL CHEMICAL PATENTS INC,,12,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08L23/12;;B29C48/08;;B29C48/88;;B29K23/00,
5,US,045-323-832-397-530,2007-06-26,US 34495203 A,2003-07-08,Polypropylene polymers,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2003-07-03),2,11,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F10/06;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,526/348.1;;526/351;;526/134;;526/170;;526/65;;525/53;;525/248;;525/251
6,EP,045-062-950-244-241,2003-05-28,EP 01964311 A,2001-08-22,POLYPROPYLENE POLYMERS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
7,EP,134-225-196-854-91X,2022-07-06,EP 19872194 A,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,3,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08K5/00;;C08K5/1575,
8,WO,014-638-355-114-690,2002-08-01,US 0126192 W,2001-08-22,POLYPROPYLENE FILMS,EXXONMOBIL CHEM PATENTS INC;;LIN CHON-YIE;;CHEN MICHAEL C-C;;MEHTA ASPY K,,6,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
9,US,013-360-227-519-503,2022-02-24,US 201917279739 A,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,2,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08L23/12;;B29C48/08;;B29C48/88,
10,WO,110-327-132-176-570,2020-04-16,US 2019/0052827 W,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,5,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08K5/053;;B29C48/00;;B29C49/04;;C08F10/06;;C08J5/18;;C08L23/10,
