"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
1,EP,070-058-480-221-161,2017-11-08,EP 11003572 A,2011-05-02,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG,,6,0,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
2,EP,025-164-011-577-883,2012-11-07,EP 11003572 A,2011-05-02,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG,,19,17,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
3,AU,180-385-630-881-680,2013-10-31,AU 2012/251871 A,2012-04-26,Polypropylene for foam and polypropylene foam,BOREALIS AG,,0,0,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
4,KR,172-982-543-881-629,2016-09-12,KR 20167024419 A,2012-04-26,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG,,4,0,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;C08F4/34;;C08F4/659;;C08F110/06;;C08L23/12,
5,WO,030-235-850-084-349,2012-11-08,EP 2012001806 W,2012-04-26,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG;;TRAN ANH TUAN;;KLIMKE KATJA;;BRAUN HERMANN;;FILIPE SUSANA,,6,8,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
6,AU,124-141-503-697-133,2014-12-04,AU 2012/251871 A,2012-04-26,Polypropylene for foam and polypropylene foam,BOREALIS AG,,2,0,C08F4/65912;;C08F110/06;;C08F210/06;;C08L2314/06;;C08L23/12;;C08L2203/14;;C08F255/02;;C08F4/34;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F10/06;;C08F110/06;;C08L23/12;;C08F4/65912;;C08F110/06;;C08F210/06;;C08L2314/06;;C08L23/12;;C08L2203/14;;C08F255/02;;C08F4/34;;C08F10/06,B32B5/18;;C08F10/06;;C08F255/02,
7,KR,167-934-143-236-893,2014-01-22,KR 20137029370 A,2012-04-26,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG,,0,1,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;B32B5/18;;C08F255/02,
8,US,191-253-030-733-283,2014-06-12,US 201214112364 A,2012-04-26,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,TRAN ANH TUAN;;KLIMKE KATJA;;BRAUN HERMANN;;FILIPE SUSANA;;BOREALIS AG,BOREALIS AG (2013-11-21),0,6,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;C08F4/34,521/143;;526/230.5
9,US,020-096-969-430-974,2015-12-01,US 201214112364 A,2012-04-26,Polypropylene for foam and polypropylene foam,TRAN ANH TUAN;;KLIMKE KATJA;;BRAUN HERMANN;;FILIPE SUSANA;;BOREALIS AG,BOREALIS AG (2013-11-21),15,10,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;C08F4/34;;C08F4/659;;C08F110/06;;C08F210/06;;C08L23/12,
10,CN,169-930-651-884-939,2014-01-29,CN 201280021322 A,2012-04-26,Polypropylene for foam and polypropylene foam,BOREALIS AG,,5,10,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
