"#",Lens ID,Title,Applicants
1,163-610-090-612-78X,"Polypropylene backbone, and nanoporous polypropylene membrane",SABIC GLOBAL TECHNOLOGIES BV
2,165-764-659-004-40X,Polypropylene composition,BASF SE
3,162-195-938-599-315,PELLET-TYPE POLYPROPYLENE RESIN COMPOSITION AND POLYPROPYLENE FIBER,주식회사 엘지화학
4,146-423-890-766-04X,"POLYPROPYLENE FOAM PARTICLES, POLYPROPYLENE FOAM MOLDED BODY, METHOD FOR PRODUCING POLYPROPYLENE FOAM PARTICLES, AND METHOD FOR PRODUCING POLYPROPYLENE FOAM MOLDED BODY",KANEKA CORP
5,067-650-754-195-293,Polypropylene multilayer sheet,FP CORP;;SUNALLOMER LTD
6,005-870-853-505-125,A 100% POLYPROPYLENE FABRIC,RESPECTLIFE
7,070-836-488-041-606,METALLOCENES FOR THE MANUFACTURE OF POLYPROPYLENE,BOREALIS AG
8,031-307-507-008-660,HETEROPHASIC POLYPROPYLENE COMPOSITION,BOREALIS AG
9,065-873-921-823-070,PROCESS FOR PREPARING POLYPROPYLENE,주식회사 엘지화학
10,081-840-477-164-45X,HETEROPHASIC POLYPROPYLENE COMPOSITION,BOREALIS AG
11,119-337-416-831-545,METALLOCENES FOR THE MANUFACTURE OF POLYPROPYLENE,BOREALIS AG
12,135-866-446-989-267,REINFORCED POLYPROPYLENE COMPOSITION,BASELL POLYOLEFINE GMBH;;UNIV FREIBURG ALBERT LUDWIGS
13,043-149-718-847-012,METALLOCENES FOR THE MANUFACTURE OF POLYPROPYLENE,BOREALIS AG
14,107-755-770-115-302,Heterophasic polypropylene composition,BOREALIS AG
15,066-441-700-713-588,METALLOCENES FOR THE MANUFACTURE OF POLYPROPYLENE,BOREALIS AG
16,067-693-551-207-629,BLENDED POLYPROPYLENE COMPOSITION,SABIC GLOBAL TECHNOLOGIES B.V.
17,159-473-708-010-535,"POLYPROPYLENE RESIN FOAM PARTICLES, POLYPROPYLENE RESIN FOAM MOLDED BODY, AND METHOD FOR MANUFACTURING POLYPROPYLENE RESIN FOAM PARTICLES",KANEKA CORP
18,167-130-734-168-323,POLYPROPYLENE COMPOSITE MATERIAL FOR SAILCLOTH AND PROCESS FOR MANUFACTURING,ALUULA COMPOSITES INC
19,187-407-231-960-356,"Polypropylene resin having excellent melt characteristics, and preparation method therefor",LOTTE CHEMICAL CORP
20,143-661-829-251-439,METHOD FOR PRODUCING POLYPROPYLENE-BASED RESIN EXPANDED BEADS,JSP CORP
21,041-460-427-126-011,USE OF FLAME RETARDANT POLYPROPYLENE COMPOSITION FOR LASER MARKING,BOREALIS AG
22,108-594-495-766-478,FLAME RETARDANT POLYPROPYLENE COMPOSITION HAVING LASER-MARKING CAPABILITY,BOREALIS AG
23,102-908-634-201-866,Polypropylene polymer composition having high stiffness properties,GRACE W R & CO
