"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
1,US,163-610-090-612-78X,2025-02-04,US 202017440475 A,2020-03-12,"Polypropylene backbone, and nanoporous polypropylene membrane",SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2020-06-12),13,0,B01D71/78;;B01D71/48;;C08J5/18;;B01D61/027;;C08J2323/26;;C08J2351/06;;Y02E60/10;;H01M50/44;;H01M50/417;;H01M50/414;;H01M50/491;;H01M50/489;;H01M50/406;;B01D67/0031;;B01D71/262;;B01D2325/02833;;B01D71/261;;B01D71/78;;C08J5/18;;H01M50/44;;B01D61/027;;B01D71/48;;C08J2323/26;;C08J2351/06;;Y02E60/10;;H01M50/417;;H01M50/491;;H01M50/406;;H01M50/449;;C02F1/442;;C08G81/027;;B01D2325/04;;C08G2340/00;;B01D71/262;;B01D67/0031;;B01D2325/02833;;B01D71/261;;H01M50/417;;H01M50/449;;B01D71/78;;B01D2325/04;;C02F1/442;;C08G81/027;;C08G2340/00;;H01M50/491;;H01M50/489;;H01M50/414;;H01M50/406;;B01D71/48;;B01D67/0031;;B01D71/261;;B01D2325/02833;;B01D71/262,C08G81/02;;B01D67/00;;B01D71/26;;B01D71/48;;B01D71/78;;C02F1/44;;H01M50/406;;H01M50/414;;H01M50/417;;H01M50/449;;H01M50/489;;H01M50/491,
2,US,112-065-364-503-02X,2021-08-17,US 201816641694 A,2018-08-30,Polypropylene composition,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2018-10-30),6,0,C08L23/12;;C08L2207/02;;C08L23/14;;C08J3/005;;C08J2323/14;;C08J2423/08;;C08L2205/02;;C08L2207/02,C08L23/14;;C08J3/00,
3,EP,107-713-176-944-479,2021-03-03,EP 15810795 A,2015-12-21,POLYPROPYLENE COMPOSITION,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V. (2018-05-02),4,0,C08L23/12;;C08F210/16;;C08L23/142;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2308/00;;C08L23/142;;C08K3/34;;C08L23/0815;;C08L23/12;;C08L23/16;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2308/00;;C08L23/142;;C08K3/34;;C08L23/0815;;C08L23/12;;C08L23/16;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2308/00,C08L23/12;;C08K3/34;;C08L23/08;;C08L23/14;;C08L23/16,
4,WO,112-454-218-247-493,2019-03-07,EP 2018073316 W,2018-08-30,POLYPROPYLENE COMPOSITION,SABIC GLOBAL TECHNOLOGIES BV,,5,0,C08L23/12;;C08L2207/02;;C08J3/005;;C08J2323/14;;C08J2423/08;;C08L23/14;;C08L2205/02;;C08L2207/02,C08L23/12,
5,WO,043-098-560-049-645,2016-05-26,EP 2015076246 W,2015-11-10,POLYPROPYLENE COMPOSITIONS,SABIC GLOBAL TECHNOLOGIES BV,,9,0,C08L23/10;;C08L59/02;;C08L77/02;;C08L2201/10;;C08L23/10;;C08K7/14;;C08L59/02;;C08L77/02;;C08L2201/10;;C08L23/12;;B29C45/0001;;B29K2023/12;;B29K2105/0094;;C08K7/14;;C08L23/10;;C08L59/02;;C08L77/02;;C08L2201/10,C08L23/10;;C08L59/02;;C08L77/00,
6,EP,111-600-958-357-563,2021-01-27,EP 15816466 A,2015-12-21,POLYPROPYLENE COMPOSITION,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V. (2018-05-02),2,0,C08L23/10;;C08L2203/30;;C08L2205/02;;C08L2205/025;;C08L2207/02;;C08L23/12;;C08K3/34;;C08K7/14;;C08K2201/003;;C08L23/10;;C08L23/142;;C08L23/26;;C08L2203/30;;C08L2205/02;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L23/12;;C08K3/34;;C08K7/14;;C08K2201/003;;C08L23/10;;C08L23/142;;C08L23/16;;C08L23/26;;C08L2203/30;;C08L2205/02;;C08L2205/025;;C08L2205/035;;C08L2207/02,C08L23/10,
7,EP,114-434-838-099-940,2023-06-07,EP 17736972 A,2017-07-13,POLYPROPYLENE COMPOSITION,SABIC GLOBAL TECHNOLOGIES BV,,1,0,C08J3/28;;C08J9/0023;;C08J9/0066;;C08J9/0095;;C08J9/141;;C08K5/005;;C08K5/1545;;C08J2201/026;;C08J2201/03;;C08J2203/14;;C08J2205/052;;C08J2323/12;;C08L2203/14;;C08J3/12;;C08J3/12;;C08J3/28;;C08J9/0066;;C08J9/0095;;C08J2201/026;;C08J2201/03;;C08J2205/052;;C08J2323/12,C08J3/28;;C08J9/00;;C08K5/1545;;C08L23/12,
8,US,162-222-489-952-873,2020-03-24,US 201515528146 A,2015-11-10,Polypropylene compositions,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2017-05-18),11,0,C08L23/10;;C08L59/02;;C08L77/02;;C08L2201/10;;C08L23/10;;C08K7/14;;C08L59/02;;C08L77/02;;C08L2201/10;;C08L23/12;;B29C45/0001;;B29K2023/12;;B29K2105/0094;;C08K7/14;;C08L23/10;;C08L59/02;;C08L77/02;;C08L2201/10,C08L23/12;;B29C45/00;;B29K23/00;;B29K105/00;;C08K7/14;;C08L23/10;;C08L59/02;;C08L77/02,
9,US,024-377-482-676-901,2020-06-11,US 201716324138 A,2017-07-13,POLYPROPYLENE COMPOSITION,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2019-02-19),3,1,C08J9/0023;;C08J3/12;;C08J3/28;;C08J9/0066;;C08J9/0095;;C08J9/141;;C08J2201/026;;C08J2201/03;;C08J2203/14;;C08J2205/052;;C08J2323/12;;C08K5/005;;C08K5/1545;;C08L2203/14;;C08J9/0095;;C08J3/12;;C08J3/28;;C08J9/0066;;C08J2201/026;;C08J2201/03;;C08J2205/052;;C08J2323/12,C08J9/00;;C08J3/12;;C08J3/28,
10,CN,029-985-377-410-790,2017-08-29,CN 201580070123 A,2015-12-21,Polypropylene composition,SABIC GLOBAL TECHNOLOGIES BV,,7,0,C08L23/12;;C08F210/16;;C08L23/142;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2308/00;;C08L23/142;;C08K3/34;;C08L23/0815;;C08L23/12;;C08L23/16;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2308/00;;C08L23/142;;C08K3/34;;C08L23/0815;;C08L23/12;;C08L23/16;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2308/00,C08L23/14;;C08F210/06;;C08F210/16;;C08K3/34;;C08L23/08;;C08L23/12;;C08L23/16,
